title,date_published,genre,director,actors,avg_vote,comb
first snow,2007-03-23,"Drama, Thriller",Mark Fergus,"Guy Pearce, Steven Michael Quezada, J.K. Simmons, Nicholas Ballas, Piper Perabo, Rick Gonzalez, William Fichtner, David House, Julie Gawkowski, Luce Rains, Forrest Fyre, Gurudarshan, Callie Anne Morgan, Jo Ann Soto, Adriana Cordova",6.2,Guy Pearce  Steven Michael Quezada  J.K. Simmons  Nicholas Ballas  Piper Perabo  Rick Gonzalez  William Fichtner  David House  Julie Gawkowski  Luce Rains  Forrest Fyre  Gurudarshan  Callie Anne Morgan  Jo Ann Soto  Adriana Cordova Mark Fergus Drama  Thriller
the fog,2006-02-24,Horror,Rupert Wainwright,"Tom Welling, Maggie Grace, Selma Blair, DeRay Davis, Kenneth Welsh, Adrian Hough, Sara Botsford, Cole Heppell, Mary Black, Jonathon Young, R. Nelson Brown, Christian Bocher, Douglas Arthurs, Yves Cameron, Charles Andre",3.7,Tom Welling  Maggie Grace  Selma Blair  DeRay Davis  Kenneth Welsh  Adrian Hough  Sara Botsford  Cole Heppell  Mary Black  Jonathon Young  R. Nelson Brown  Christian Bocher  Douglas Arthurs  Yves Cameron  Charles Andre Rupert Wainwright Horror
die höhle des gelben hundes,2006-07-14,"Drama, Family",Byambasuren Davaa,"Batchuluun Urjindorj, Buyandulam Daramdadi, Nansal Batchuluun, Nansalmaa Batchuluun, Batbayar Batchuluun, Tserenpuntsag Ish, Scharav Sumiya, Battur Lhamsuren, Batjargal Ulzidelger",7.6,Batchuluun Urjindorj  Buyandulam Daramdadi  Nansal Batchuluun  Nansalmaa Batchuluun  Batbayar Batchuluun  Tserenpuntsag Ish  Scharav Sumiya  Battur Lhamsuren  Batjargal Ulzidelger Byambasuren Davaa Drama  Family
saw ii,2005-10-28,"Horror, Mystery",Darren Lynn Bousman,"Tobin Bell, Shawnee Smith, Donnie Wahlberg, Erik Knudsen, Franky G, Glenn Plummer, Emmanuelle Vaugier, Beverley Mitchell, Timothy Burd, Dina Meyer, Lyriq Bent, Noam Jenkins, Tony Nappo, Kelly Jones, Vincent Rother",6.6,Tobin Bell  Shawnee Smith  Donnie Wahlberg  Erik Knudsen  Franky G  Glenn Plummer  Emmanuelle Vaugier  Beverley Mitchell  Timothy Burd  Dina Meyer  Lyriq Bent  Noam Jenkins  Tony Nappo  Kelly Jones  Vincent Rother Darren Lynn Bousman Horror  Mystery
factory girl,2007-03-16,"Biography, Drama",George Hickenlooper,"Sienna Miller, Guy Pearce, Hayden Christensen, Jimmy Fallon, Jack Huston, Armin Amiri, Tara Summers, Mena Suvari, Shawn Hatosy, Beth Grant, James Naughton, Edward Herrmann, Illeana Douglas, Mary Elizabeth Winstead, Don Novello",6.5,Sienna Miller  Guy Pearce  Hayden Christensen  Jimmy Fallon  Jack Huston  Armin Amiri  Tara Summers  Mena Suvari  Shawn Hatosy  Beth Grant  James Naughton  Edward Herrmann  Illeana Douglas  Mary Elizabeth Winstead  Don Novello George Hickenlooper Biography  Drama
krrish,2006-06-23,"Action, Sci-Fi",Rakesh Roshan,"Rekha, Hrithik Roshan, Priyanka Chopra, Sharat Saxena, Puneet Issar, Hemant Pandey, Manini M. Mishra, Akash Khurana, Naseeruddin Shah, Ahmed Khan, Xia Bin, Edgar Noordanus, Mithilesh Chaturvedi, Zain Khan, Fardeen Hussaini",6.3,Rekha  Hrithik Roshan  Priyanka Chopra  Sharat Saxena  Puneet Issar  Hemant Pandey  Manini M. Mishra  Akash Khurana  Naseeruddin Shah  Ahmed Khan  Xia Bin  Edgar Noordanus  Mithilesh Chaturvedi  Zain Khan  Fardeen Hussaini Rakesh Roshan Action  Sci-Fi
real steel,2011-10-14,"Action, Drama, Family",Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins, Sophie Levy, Tess Levy, Charlie Levy, Gregory Sims, Torey Adkins",7.1,Hugh Jackman  Dakota Goyo  Evangeline Lilly  Anthony Mackie  Kevin Durand  Hope Davis  James Rebhorn  Karl Yune  Olga Fonda  John Gatins  Sophie Levy  Tess Levy  Charlie Levy  Gregory Sims  Torey Adkins Shawn Levy Action  Drama  Family
looking for comedy in the muslim world,2006-01-20,Comedy,Albert Brooks,"Penny Marshall, Victoria Burrows, Paul Jerome, Albert Brooks, Emma Lockhart, Amy Ryan, Fred Dalton Thompson, B.J. Ward, Tony Montero, Lynda Berg, Steve Kramer, Conrad Bachmann, John Carroll Lynch, Jon Tenney, Avinash Kaur",5.4,Penny Marshall  Victoria Burrows  Paul Jerome  Albert Brooks  Emma Lockhart  Amy Ryan  Fred Dalton Thompson  B.J. Ward  Tony Montero  Lynda Berg  Steve Kramer  Conrad Bachmann  John Carroll Lynch  Jon Tenney  Avinash Kaur Albert Brooks Comedy
boy culture,2007-01-31,"Drama, Romance",Q. Allan Brocka,"Derek Magyar, George Jonson, Patrick Bauchau, Darryl Stephens, Peyton Hinson, Jonathon Trent, Kyle Santler, Emily Brooke Hands, Matt Riedy, Cliff Harrington, Molly Manago, Demene Hall, William Hall Jr., Joël René, Kibibi Monie",6.8,Derek Magyar  George Jonson  Patrick Bauchau  Darryl Stephens  Peyton Hinson  Jonathon Trent  Kyle Santler  Emily Brooke Hands  Matt Riedy  Cliff Harrington  Molly Manago  Demene Hall  William Hall Jr.  Joël René  Kibibi Monie Q. Allan Brocka Drama  Romance
daybreakers,2010-01-08,"Action, Fantasy, Horror","Michael Spierig, Peter Spierig","Harriet Minto-Day, Jay Laga'aia, Damien Garvey, Sahaj Dumpleton, Allan Todd, Gabriella Di Labio, Ben Siemer, Peter Welman, Ethan Hawke, Callum McLean, Jarrad Pon, Victoria Williams, Zoe White, Aolani Roy, Tiffany Lamb",6.4,Harriet Minto-Day  Jay Laga'aia  Damien Garvey  Sahaj Dumpleton  Allan Todd  Gabriella Di Labio  Ben Siemer  Peter Welman  Ethan Hawke  Callum McLean  Jarrad Pon  Victoria Williams  Zoe White  Aolani Roy  Tiffany Lamb Michael Spierig  Peter Spierig Action  Fantasy  Horror
"good night, and good luck.",2006-02-17,"Biography, Drama, History",George Clooney,"Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo, Dianne Reeves, Peter Martin, Christoph Luty, Jeff Hamilton, Matt Catingub, Tate Donovan, Reed Diamond, Matt Ross, Patricia Clarkson, Robert Downey Jr., George Clooney",7.4,Jeff Daniels  David Strathairn  Alex Borstein  Rose Abdoo  Dianne Reeves  Peter Martin  Christoph Luty  Jeff Hamilton  Matt Catingub  Tate Donovan  Reed Diamond  Matt Ross  Patricia Clarkson  Robert Downey Jr.  George Clooney George Clooney Biography  Drama  History
the grudge 2,2006-10-20,"Horror, Thriller",Takashi Shimizu,"Sarah Michelle Gellar, Amber Tamblyn, Arielle Kebbel, Takako Fuji, Edison Chen, Sarah Roemer, Matthew Knight, Misako Uno, Teresa Palmer, Ohga Tanaka, Yuya Ozeki, Jennifer Beals, Christopher Cousins, Zen Kajihara, Takashi Matsuyama",5.0,Sarah Michelle Gellar  Amber Tamblyn  Arielle Kebbel  Takako Fuji  Edison Chen  Sarah Roemer  Matthew Knight  Misako Uno  Teresa Palmer  Ohga Tanaka  Yuya Ozeki  Jennifer Beals  Christopher Cousins  Zen Kajihara  Takashi Matsuyama Takashi Shimizu Horror  Thriller
harsh times,2006-08-18,"Action, Crime, Drama",David Ayer,"Christian Bale, Freddy Rodríguez, Eva Longoria, Chaka Forman, Tammy Trull, J.K. Simmons, Michael Monks, Samantha Esteban, Tania Verafield, Noel Gugliemi, Adriana Millan, Geo Corvera, Cesar Garcia, Terry Crews, Emilio Rivera",6.9,Christian Bale  Freddy Rodríguez  Eva Longoria  Chaka Forman  Tammy Trull  J.K. Simmons  Michael Monks  Samantha Esteban  Tania Verafield  Noel Gugliemi  Adriana Millan  Geo Corvera  Cesar Garcia  Terry Crews  Emilio Rivera David Ayer Action  Crime  Drama
journey from the fall,2006-02-22,Drama,Ham Tran,"Kieu Chinh, Long Nguyen, Diem Lien, Jayvee Mai The Hiep, Khanh Doan, Cat Ly, Nguyen Thai Nguyen, Raul Alba, Robert Beckman, George Bui, Alex Dorman, Alan Vo Ford, Jose Gutierrez, Jiruyut Khieosawat, Tere Morris",7.1,Kieu Chinh  Long Nguyen  Diem Lien  Jayvee Mai The Hiep  Khanh Doan  Cat Ly  Nguyen Thai Nguyen  Raul Alba  Robert Beckman  George Bui  Alex Dorman  Alan Vo Ford  Jose Gutierrez  Jiruyut Khieosawat  Tere Morris Ham Tran Drama
land of the blind,2007-10-25,"Drama, Thriller",Robert Edwards,"Ralph Fiennes, Donald Sutherland, Tom Hollander, Lara Flynn Boyle, Marc Warren, Ron Cook, Robert Daws, Laura Fraser, Jonathan Hyde, Camilla Rutherford, Don Warrington, Miranda Raison, Nigel Whitmey, Leigh Zimmerman, Mackenzie Crook",6.5,Ralph Fiennes  Donald Sutherland  Tom Hollander  Lara Flynn Boyle  Marc Warren  Ron Cook  Robert Daws  Laura Fraser  Jonathan Hyde  Camilla Rutherford  Don Warrington  Miranda Raison  Nigel Whitmey  Leigh Zimmerman  Mackenzie Crook Robert Edwards Drama  Thriller
the namesake,2007-03-30,Drama,Mira Nair,"Kal Penn, Tabu, Irrfan Khan, Jacinda Barrett, Zuleikha Robinson, Brooke Smith, Sahira Nair, Jagannath Guha, Ruma Guha Thakurta, Sandip Deb, Sukanya, Tanushree Shankar, Sabyasachi Chakrabarty, Tamal Ray Chowdhury, Dhruv Mookerji",7.5,Kal Penn  Tabu  Irrfan Khan  Jacinda Barrett  Zuleikha Robinson  Brooke Smith  Sahira Nair  Jagannath Guha  Ruma Guha Thakurta  Sandip Deb  Sukanya  Tanushree Shankar  Sabyasachi Chakrabarty  Tamal Ray Chowdhury  Dhruv Mookerji Mira Nair Drama
the return,2007-01-19,"Horror, Mystery, Thriller",Asif Kapadia,"Sarah Michelle Gellar, Peter O'Brien, Adam Scott, Kate Beahan, Sam Shepard, J.C. MacKenzie, Erinn Allison, Darrian McClanahan, Wally Welch, Frank Ertl, Brad Leland, Bonnie Gallup, Brent Smiga, Robert Wilson",4.7,Sarah Michelle Gellar  Peter O'Brien  Adam Scott  Kate Beahan  Sam Shepard  J.C. MacKenzie  Erinn Allison  Darrian McClanahan  Wally Welch  Frank Ertl  Brad Leland  Bonnie Gallup  Brent Smiga  Robert Wilson Asif Kapadia Horror  Mystery  Thriller
the last kiss,2006-10-20,"Comedy, Drama, Romance",Tony Goldwyn,"Zach Braff, Jacinda Barrett, Casey Affleck, Rachel Bilson, Michael Weston, Eric Christian Olsen, Marley Shelton, Lauren Lee Smith, Harold Ramis, Blythe Danner, Tom Wilkinson, David Haydn-Jones, Cindy Sampson, Lisa Hochstein, Patricia Stasiak",6.4,Zach Braff  Jacinda Barrett  Casey Affleck  Rachel Bilson  Michael Weston  Eric Christian Olsen  Marley Shelton  Lauren Lee Smith  Harold Ramis  Blythe Danner  Tom Wilkinson  David Haydn-Jones  Cindy Sampson  Lisa Hochstein  Patricia Stasiak Tony Goldwyn Comedy  Drama  Romance
marebito,2005,"Drama, Fantasy, Horror",Takashi Shimizu,"Shin'ya Tsukamoto, Tomomi Miyashita, Kazuhiro Nakahara, Miho Ninagawa, Shun Sugata, Junko Amagi, Masayoshi Haneda, Ayumu Saitô",6.1,Shin'ya Tsukamoto  Tomomi Miyashita  Kazuhiro Nakahara  Miho Ninagawa  Shun Sugata  Junko Amagi  Masayoshi Haneda  Ayumu Saitô Takashi Shimizu Drama  Fantasy  Horror
flicka,2006-10-20,"Adventure, Drama, Family",Michael Mayer,"Tim McGraw, Maria Bello, Alison Lohman, Ryan Kwanten, Danny Pino, Dallas Roberts, Kaylee DeFer, Jeffrey Nordling, Dey Young, Nick Searcy, Buck Taylor, Wade Williams, David Burton, John O'Brien, Armie Hammer",6.1,Tim McGraw  Maria Bello  Alison Lohman  Ryan Kwanten  Danny Pino  Dallas Roberts  Kaylee DeFer  Jeffrey Nordling  Dey Young  Nick Searcy  Buck Taylor  Wade Williams  David Burton  John O'Brien  Armie Hammer Michael Mayer Adventure  Drama  Family
v for vendetta,2006-03-17,"Action, Drama, Sci-Fi",James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith, Rupert Graves, Roger Allam, Ben Miles, Sinéad Cusack, Natasha Wightman, John Standing, Eddie Marsan, Clive Ashborn, Emma Field-Rayner",8.2,Natalie Portman  Hugo Weaving  Stephen Rea  Stephen Fry  John Hurt  Tim Pigott-Smith  Rupert Graves  Roger Allam  Ben Miles  Sinéad Cusack  Natasha Wightman  John Standing  Eddie Marsan  Clive Ashborn  Emma Field-Rayner James McTeigue Action  Drama  Sci-Fi
undiscovered,2005-08-26,"Comedy, Music, Romance",Meiert Avis,"Pell James, Steven Strait, Kip Pardue, Carrie Fisher, Shannyn Sossamon, Stephen Moyer, Ashlee Simpson, Fisher Stevens, Perrey Reeves, Peter Weller, Melissa Lawner, Cameron Thor, Brian Swibel, Ewan Chung, Mann Alfonso",4.3,Pell James  Steven Strait  Kip Pardue  Carrie Fisher  Shannyn Sossamon  Stephen Moyer  Ashlee Simpson  Fisher Stevens  Perrey Reeves  Peter Weller  Melissa Lawner  Cameron Thor  Brian Swibel  Ewan Chung  Mann Alfonso Meiert Avis Comedy  Music  Romance
conversations with other women,2007-05-18,"Comedy, Drama, Romance",Hans Canosa,"Aaron Eckhart, Helena Bonham Carter, Yury Tsykun, Brian Geraghty, Brianna Brown, Thomas Lennon, Erik Eidem, Nora Zehetner, David Franklin, Olivia Wilde, Cerina Vincent, Philip Littell, Rozanne Sher, Veronica Reyes-How, Emily Fernandez",7.0,Aaron Eckhart  Helena Bonham Carter  Yury Tsykun  Brian Geraghty  Brianna Brown  Thomas Lennon  Erik Eidem  Nora Zehetner  David Franklin  Olivia Wilde  Cerina Vincent  Philip Littell  Rozanne Sher  Veronica Reyes-How  Emily Fernandez Hans Canosa Comedy  Drama  Romance
the descent,2005-07-08,"Adventure, Horror, Thriller",Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder, MyAnna Buring, Nora-Jane Noone, Oliver Milburn, Molly Kayll, Craig Conway, Leslie Simpson, Mark Cronfield, Stephen Lamb, Catherine Dyson, Julie Ellis, Sophie Trott",7.2,Shauna Macdonald  Natalie Mendoza  Alex Reid  Saskia Mulder  MyAnna Buring  Nora-Jane Noone  Oliver Milburn  Molly Kayll  Craig Conway  Leslie Simpson  Mark Cronfield  Stephen Lamb  Catherine Dyson  Julie Ellis  Sophie Trott Neil Marshall Adventure  Horror  Thriller
the giver,2014-09-19,"Drama, Romance, Sci-Fi",Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Cameron Monaghan, Taylor Swift, Emma Tremblay, Alexander Jillings, James Jillings, Jordan Nicholas Smal, Saige Fernandes, Renate Stuurman, Vanessa Cooke",6.5,Jeff Bridges  Meryl Streep  Brenton Thwaites  Alexander Skarsgård  Katie Holmes  Odeya Rush  Cameron Monaghan  Taylor Swift  Emma Tremblay  Alexander Jillings  James Jillings  Jordan Nicholas Smal  Saige Fernandes  Renate Stuurman  Vanessa Cooke Phillip Noyce Drama  Romance  Sci-Fi
the invisible,2007-04-27,"Crime, Drama, Fantasy",David S. Goyer,"Justin Chatwin, Margarita Levieva, Marcia Gay Harden, Chris Marquette, Alex O'Loughlin, Callum Keith Rennie, Michelle Harrison, Ryan Kennedy, Andrew Francis, P. Lynn Johnson, Serge Houde, Desiree Zurowski, Mark Houghton, Alex Ferris, Tania Saulnier",6.2,Justin Chatwin  Margarita Levieva  Marcia Gay Harden  Chris Marquette  Alex O'Loughlin  Callum Keith Rennie  Michelle Harrison  Ryan Kennedy  Andrew Francis  P. Lynn Johnson  Serge Houde  Desiree Zurowski  Mark Houghton  Alex Ferris  Tania Saulnier David S. Goyer Crime  Drama  Fantasy
next,2007-04-27,"Action, Sci-Fi, Thriller",Lee Tamahori,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Tory Kittles, José Zúñiga, Jim Beaver, Jason Butler Harner, Michael Trucco, Enzo Cilenti, Laetitia Danielle, Nicolas Pajon, Sergej Trifunovic, Charles Rahi Chun, Patricia Prata",6.2,Nicolas Cage  Julianne Moore  Jessica Biel  Thomas Kretschmann  Tory Kittles  José Zúñiga  Jim Beaver  Jason Butler Harner  Michael Trucco  Enzo Cilenti  Laetitia Danielle  Nicolas Pajon  Sergej Trifunovic  Charles Rahi Chun  Patricia Prata Lee Tamahori Action  Sci-Fi  Thriller
toy story 3,2010-07-19,"Animation, Adventure, Comedy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,Tom Hanks  Tim Allen  Joan Cusack  Ned Beatty  Don Rickles  Michael Keaton  Wallace Shawn  John Ratzenberger  Estelle Harris  John Morris  Jodi Benson  Emily Hahn  Laurie Metcalf  Blake Clark  Teddy Newton Lee Unkrich Animation  Adventure  Comedy
friends with money,2006-05-26,"Comedy, Drama, Romance",Nicole Holofcener,"Catherine Keener, Jason Isaacs, Timm Sharp, Joan Cusack, Greg Germann, Hailey Noelle Johnson, Simon McBurney, Frances McDormand, Jake Cherry, Jennifer Aniston, Bob Stephenson, Marin Hinkle, Scott Caan, Troy Ruptash, Elizabeth Keener",5.8,Catherine Keener  Jason Isaacs  Timm Sharp  Joan Cusack  Greg Germann  Hailey Noelle Johnson  Simon McBurney  Frances McDormand  Jake Cherry  Jennifer Aniston  Bob Stephenson  Marin Hinkle  Scott Caan  Troy Ruptash  Elizabeth Keener Nicole Holofcener Comedy  Drama  Romance
g-force,2009-07-31,"Animation, Action, Adventure",Hoyt Yeatman,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner, Tyler Patrick Jones, Piper Mackenzie Harris, Gabriel Casseus, Jack Conley, Niecy Nash, Justin Mentell, Loudon Wainwright III, Chris Ellis, Travis Davis, James Huang, Corey Michael Eubanks",5.1,Bill Nighy  Will Arnett  Zach Galifianakis  Kelli Garner  Tyler Patrick Jones  Piper Mackenzie Harris  Gabriel Casseus  Jack Conley  Niecy Nash  Justin Mentell  Loudon Wainwright III  Chris Ellis  Travis Davis  James Huang  Corey Michael Eubanks Hoyt Yeatman Animation  Action  Adventure
good,2009-04-17,"Drama, Romance, War",Vicente Amorim,"Viggo Mortensen, Jason Isaacs, Jodie Whittaker, Steven Mackintosh, Mark Strong, Gemma Jones, Anastasia Hille, Ruth Gemmell, Ralph Riach, Steven Elder, Kevin Doyle, David de Keyser, Guy Henry, Adrian Schiller, Rick Warden",6.2,Viggo Mortensen  Jason Isaacs  Jodie Whittaker  Steven Mackintosh  Mark Strong  Gemma Jones  Anastasia Hille  Ruth Gemmell  Ralph Riach  Steven Elder  Kevin Doyle  David de Keyser  Guy Henry  Adrian Schiller  Rick Warden Vicente Amorim Drama  Romance  War
the puffy chair,2007-04-27,"Comedy, Drama, Romance","Jay Duplass, Mark Duplass","Mark Duplass, Katie Aselton, Rhett Wilkins, Julie Fischer, Larry Duplass, Bari Hyman, Gerald Finnegan, Henry Barendse, Cindy Duplass, David Parsons, Jose Manuel Alvarado, Daniel Gonzalez, Ora Aselton, Bill Leighton, Jim Whalen",6.5,Mark Duplass  Katie Aselton  Rhett Wilkins  Julie Fischer  Larry Duplass  Bari Hyman  Gerald Finnegan  Henry Barendse  Cindy Duplass  David Parsons  Jose Manuel Alvarado  Daniel Gonzalez  Ora Aselton  Bill Leighton  Jim Whalen Jay Duplass  Mark Duplass Comedy  Drama  Romance
the queen,2006-09-15,"Biography, Drama, History",Stephen Frears,"Helen Mirren, James Cromwell, Alex Jennings, Roger Allam, Sylvia Syms, Tim McMullan, Robin Soans, Lola Peploe, Douglas Reith, Joyce Henderson, Pat Laffan, Amanda Hadingue, John McGlynn, Gray O'Brien, Dolina MacLennan",7.3,Helen Mirren  James Cromwell  Alex Jennings  Roger Allam  Sylvia Syms  Tim McMullan  Robin Soans  Lola Peploe  Douglas Reith  Joyce Henderson  Pat Laffan  Amanda Hadingue  John McGlynn  Gray O'Brien  Dolina MacLennan Stephen Frears Biography  Drama  History
the salon,2005-01-01,"Comedy, Drama",Mark Brown,"Vivica A. Fox, Darrin Dewitt Henson, Kym Whitley, Monica Calhoun, Taral Hicks, Dondre Whitfield, De'Angelo Wilson, Garrett Morris, Terrence Howard, Brooke Burns, Sheila Cutchlow, Tiffany Adams, Kamal Bostic-Smith, Mike Brooks, Shamyl Brown",4.1,Vivica A. Fox  Darrin Dewitt Henson  Kym Whitley  Monica Calhoun  Taral Hicks  Dondre Whitfield  De'Angelo Wilson  Garrett Morris  Terrence Howard  Brooke Burns  Sheila Cutchlow  Tiffany Adams  Kamal Bostic-Smith  Mike Brooks  Shamyl Brown Mark Brown Comedy  Drama
tulpan,2009-11-13,"Comedy, Drama",Sergei Dvortsevoy,"Askhat Kuchencherekov, Tolepbergen Baisakalov, Samal Yeslyamova, Ondassyn Bessikbassov, Bereke Turganbayev, Nurzhigit Zhapabayev, Mahabbat Turganbayeva, Amangeldi Nurzhanbayev, Tazhyban Khalykulova, Zhappas Zhailaubaev, Esentai Tulendiev",7.1,Askhat Kuchencherekov  Tolepbergen Baisakalov  Samal Yeslyamova  Ondassyn Bessikbassov  Bereke Turganbayev  Nurzhigit Zhapabayev  Mahabbat Turganbayeva  Amangeldi Nurzhanbayev  Tazhyban Khalykulova  Zhappas Zhailaubaev  Esentai Tulendiev Sergei Dvortsevoy Comedy  Drama
alita: battle angel,2019-02-06,"Action, Adventure, Sci-Fi",Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Maximiliano Rodriguez-Avellan",7.4,Rosa Salazar  Christoph Waltz  Jennifer Connelly  Mahershala Ali  Ed Skrein  Jackie Earle Haley  Keean Johnson  Jorge Lendeborg Jr.  Lana Condor  Idara Victor  Jeff Fahey  Eiza González  Derek Mears  Leonard Wu  Racer Maximiliano Rodriguez-Avellan Robert Rodriguez Action  Adventure  Sci-Fi
see no evil,2006-05-19,"Action, Horror, Thriller",Gregory Dark,"Glenn Jacobs, Christina Vidal, Michael J. Pagan, Samantha Noble, Steven Vidler, Cecily Polson, Luke Pegler, Rachael Taylor, Penny McNamee, Craig Horner, Mikhael Wilder, Tiffany Lamb, Sam Cotton, Cory Robinson, Zoe Ventoura",5.1,Glenn Jacobs  Christina Vidal  Michael J. Pagan  Samantha Noble  Steven Vidler  Cecily Polson  Luke Pegler  Rachael Taylor  Penny McNamee  Craig Horner  Mikhael Wilder  Tiffany Lamb  Sam Cotton  Cory Robinson  Zoe Ventoura Gregory Dark Action  Horror  Thriller
catch a fire,2007-03-23,"Biography, Drama, History",Phillip Noyce,"Tim Robbins, Derek Luke, Bonnie Henna, Mncedisi Shabangu, Tumisho Masha, Sithembiso Khumalo, Terry Pheto, Michele Burgers, Mpho Lovinga, Mxo, Jay Anstey, Charlotte Savage, Nomhle Nkonyeni, Michael Mabizela, Eduan van Jaarsveldt",6.7,Tim Robbins  Derek Luke  Bonnie Henna  Mncedisi Shabangu  Tumisho Masha  Sithembiso Khumalo  Terry Pheto  Michele Burgers  Mpho Lovinga  Mxo  Jay Anstey  Charlotte Savage  Nomhle Nkonyeni  Michael Mabizela  Eduan van Jaarsveldt Phillip Noyce Biography  Drama  History
qian li zou dan qi,2005-12-22,Drama,Yimou Zhang,"Ken Takakura, Shinobu Terajima, Kiichi Nakai, Ken Nakamoto, Jiamin Li, Jiang Wen, Lin Qiu, Li Bin Li, Ziliang Chen, Zezhou He, Zhenbo Yang",7.3,Ken Takakura  Shinobu Terajima  Kiichi Nakai  Ken Nakamoto  Jiamin Li  Jiang Wen  Lin Qiu  Li Bin Li  Ziliang Chen  Zezhou He  Zhenbo Yang Yimou Zhang Drama
une vieille maîtresse,2007-05-30,"Drama, Romance",Catherine Breillat,"Asia Argento, Fu'ad Aït Aattou, Roxane Mesquida, Claude Sarraute, Yolande Moreau, Michael Lonsdale, Anne Parillaud, Jean-Philippe Tesse, Sarah Pratt, Amira Casar, Caroline Ducey, Lio, Isabelle Renauld, Nicholas Hawtrey, Léa Seydoux",6.2,Asia Argento  Fu'ad Aït Aattou  Roxane Mesquida  Claude Sarraute  Yolande Moreau  Michael Lonsdale  Anne Parillaud  Jean-Philippe Tesse  Sarah Pratt  Amira Casar  Caroline Ducey  Lio  Isabelle Renauld  Nicholas Hawtrey  Léa Seydoux Catherine Breillat Drama  Romance
akeelah and the bee,2006-08-18,"Drama, Family",Doug Atchison,"Keke Palmer, Laurence Fishburne, Angela Bassett, Curtis Armstrong, J.R. Villarreal, Sean Michael Afable, Sahara Ware, Lee Thompson Young, Julito McCullum, Erica Hubbard, Eddie Steeples, Dalia Phillips, Tzi Ma, Jeris Poindexter, Sara Niemietz",7.3,Keke Palmer  Laurence Fishburne  Angela Bassett  Curtis Armstrong  J.R. Villarreal  Sean Michael Afable  Sahara Ware  Lee Thompson Young  Julito McCullum  Erica Hubbard  Eddie Steeples  Dalia Phillips  Tzi Ma  Jeris Poindexter  Sara Niemietz Doug Atchison Drama  Family
the benchwarmers,2006-06-02,"Comedy, Sport",Dennis Dugan,"Rob Schneider, David Spade, Jon Heder, Jon Lovitz, Craig Kilborn, Molly Sims, Tim Meadows, Nick Swardson, Erinn Bartlett, Amaury Nolasco, Bill Romanowski, Sean Salisbury, Matt Weinberg, John Farley, Reggie Jackson",5.5,Rob Schneider  David Spade  Jon Heder  Jon Lovitz  Craig Kilborn  Molly Sims  Tim Meadows  Nick Swardson  Erinn Bartlett  Amaury Nolasco  Bill Romanowski  Sean Salisbury  Matt Weinberg  John Farley  Reggie Jackson Dennis Dugan Comedy  Sport
ice age: the meltdown,2006-04-07,"Animation, Adventure, Comedy",Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Will Arnett, Jay Leno, Chris Wedge, Peter Ackerman, Caitlin Rose Anderson, Connor Anderson, Joseph Bologna, Jack Crocicchia, Peter DeSève",6.8,Ray Romano  John Leguizamo  Denis Leary  Seann William Scott  Josh Peck  Queen Latifah  Will Arnett  Jay Leno  Chris Wedge  Peter Ackerman  Caitlin Rose Anderson  Connor Anderson  Joseph Bologna  Jack Crocicchia  Peter DeSève Carlos Saldanha Animation  Adventure  Comedy
peaceful warrior,2006-06-23,"Drama, Romance, Sport",Victor Salva,"Scott Mechlowicz, Nick Nolte, Amy Smart, Tim DeKay, Ashton Holmes, Paul Wesley, B.J. Britt, Agnes Bruckner, Tom Tarantini, Beatrice Rosen, Ray Wise, Scott Caudill, Matthew Prater, Bart Conner, Jimmy Bradley",7.3,Scott Mechlowicz  Nick Nolte  Amy Smart  Tim DeKay  Ashton Holmes  Paul Wesley  B.J. Britt  Agnes Bruckner  Tom Tarantini  Beatrice Rosen  Ray Wise  Scott Caudill  Matthew Prater  Bart Conner  Jimmy Bradley Victor Salva Drama  Romance  Sport
